ACCOUNT_ID,DEFAULT_FLAG,COLLATERAL_TYPE,SENIORITY,SECTOR,REGION,ECONOMIC_SEGMENT,EXPOSURE_AT_DEFAULT,COLLATERAL_VALUE,DAYS_PAST_DUE,INTEREST_RATE,RECOVERY_TIME_MONTHS,GUARANTEE_FLAG,LTV_RATIO,LGD_OBS,RECOVERY_RATE,LGD_MODEL_PRED
A0001,0,Mortgage,Senior,SME,South,Near-Prime,523560.0,100588.0,131,16.07,35,0,3.0,0.532,0.468,0.523
A0002,1,Vehicle,Senior,Corporate,North,Near-Prime,60654.0,40032.0,120,5.89,4,0,1.52,0.651,0.349,0.645
A0003,1,None,Subordinated,Retail,West,Prime,240530.0,237227.0,196,4.46,33,1,1.01,0.595,0.405,0.595
A0004,0,Corporate,Senior,SME,North,Prime,497082.0,4985.0,481,16.47,13,1,3.0,0.331,0.669,0.327
A0005,0,Corporate,Senior,SME,East,Prime,317133.0,42383.0,633,8.25,19,0,3.0,0.47,0.53,0.485
A0006,0,Corporate,Subordinated,Corporate,East,Prime,189946.0,403813.0,38,11.27,12,1,0.47,0.466,0.534,0.459
A0007,0,Corporate,Senior,Corporate,West,Near-Prime,509092.0,385737.0,565,8.39,11,0,1.32,0.41,0.59,0.399
A0008,1,Corporate,Subordinated,Retail,North,Prime,329582.0,457569.0,511,4.89,6,1,0.72,0.385,0.615,0.403
A0009,0,Mortgage,Senior,SME,West,Near-Prime,265527.0,427258.0,473,11.84,12,0,0.62,0.368,0.632,0.36
A0010,1,Vehicle,Senior,Retail,North,Subprime,469346.0,341588.0,160,10.88,27,0,1.37,0.442,0.558,0.431
A0011,0,Mortgage,Senior,SME,South,Prime,141951.0,26166.0,288,6.04,25,0,3.0,0.576,0.424,0.526
A0012,1,None,Senior,Retail,East,Prime,928468.0,391424.0,199,9.78,3,1,2.37,0.449,0.551,0.428
A0013,1,None,Subordinated,Retail,West,Prime,869025.0,422755.0,527,14.95,3,0,2.06,0.892,0.108,0.875
A0014,0,Mortgage,Senior,Retail,South,Near-Prime,710544.0,399541.0,684,11.86,20,0,1.78,0.591,0.409,0.58
A0015,0,Corporate,Senior,SME,South,Near-Prime,115152.0,254240.0,502,4.45,28,0,0.45,0.397,0.603,0.383
A0016,0,None,Senior,Retail,West,Prime,778118.0,116451.0,247,11.22,23,1,3.0,0.475,0.525,0.495
A0017,0,Mortgage,Senior,Corporate,West,Near-Prime,809878.0,422665.0,382,13.54,3,1,1.92,0.313,0.687,0.297
A0018,0,Vehicle,Subordinated,SME,South,Subprime,770087.0,363581.0,217,14.89,24,0,2.12,0.957,0.043,0.943
A0019,0,None,Senior,Retail,North,Prime,122826.0,490381.0,86,12.44,6,0,0.25,0.464,0.536,0.467
A0020,0,Mortgage,Senior,Corporate,South,Prime,647469.0,77846.0,81,5.29,20,0,3.0,0.553,0.447,0.531
A0021,0,Corporate,Subordinated,Retail,West,Subprime,835982.0,112832.0,61,13.65,11,0,3.0,0.896,0.104,0.927
A0022,0,Mortgage,Senior,SME,South,Near-Prime,581580.0,105899.0,499,13.16,32,1,3.0,0.277,0.723,0.293
A0023,0,None,Subordinated,SME,North,Subprime,649943.0,396270.0,41,3.37,27,0,1.64,1.0,0.0,0.977
A0024,0,None,Senior,Retail,East,Near-Prime,463780.0,93454.0,11,9.18,21,0,3.0,0.705,0.295,0.725
A0025,0,None,Senior,Retail,East,Subprime,533420.0,33330.0,642,7.99,13,0,3.0,0.818,0.182,0.842
A0026,1,Vehicle,Senior,Retail,South,Prime,44033.0,499280.0,114,13.04,22,0,0.09,0.358,0.642,0.335
A0027,0,None,Senior,Corporate,North,Near-Prime,642573.0,12409.0,217,6.24,35,0,3.0,0.807,0.193,0.784
A0028,0,Corporate,Subordinated,SME,East,Subprime,90633.0,417622.0,648,11.86,22,0,0.22,0.758,0.242,0.746
A0029,0,Mortgage,Senior,SME,South,Near-Prime,440664.0,182683.0,105,16.7,28,0,2.41,0.552,0.448,0.524
A0030,0,Corporate,Senior,SME,South,Prime,299729.0,420808.0,690,14.97,21,0,0.71,0.357,0.643,0.341
A0031,0,Mortgage,Senior,Retail,North,Prime,549974.0,277310.0,527,16.82,18,0,1.98,0.638,0.362,0.63
A0032,0,Vehicle,Senior,SME,West,Prime,142082.0,450816.0,471,17.68,31,0,0.32,0.393,0.607,0.403
A0033,0,Mortgage,Senior,Corporate,South,Prime,694727.0,463096.0,386,3.16,21,0,1.5,0.289,0.711,0.291
A0034,1,Mortgage,Subordinated,Retail,West,Prime,797061.0,4549.0,225,12.34,14,1,3.0,0.647,0.353,0.644
A0035,1,Mortgage,Senior,Retail,West,Near-Prime,171721.0,37706.0,480,9.19,25,0,3.0,0.612,0.388,0.602
A0036,1,Corporate,Senior,Retail,East,Near-Prime,113270.0,125179.0,407,15.9,27,0,0.9,0.431,0.569,0.405
A0037,0,Mortgage,Senior,SME,West,Prime,154060.0,334658.0,456,6.78,23,1,0.46,0.13,0.87,0.142
A0038,0,Corporate,Senior,Public,North,Near-Prime,878356.0,444136.0,652,17.72,31,0,1.98,0.526,0.474,0.537
A0039,0,Mortgage,Senior,Retail,East,Prime,532907.0,229971.0,710,12.21,29,0,2.32,0.503,0.497,0.491
A0040,0,Mortgage,Senior,SME,East,Prime,472588.0,303487.0,623,14.9,30,0,1.56,0.565,0.435,0.543
A0041,0,Vehicle,Subordinated,Retail,East,Prime,115645.0,94250.0,638,4.28,26,0,1.23,0.637,0.363,0.668
A0042,0,Corporate,Senior,Public,South,Near-Prime,653060.0,402483.0,20,5.75,20,0,1.62,0.524,0.476,0.529
A0043,0,Mortgage,Senior,Retail,South,Prime,869320.0,483664.0,658,14.38,19,0,1.8,0.543,0.457,0.551
A0044,1,Corporate,Senior,SME,West,Prime,829904.0,134299.0,600,3.33,27,1,3.0,0.247,0.753,0.256
A0045,0,None,Subordinated,Corporate,East,Prime,629794.0,247413.0,202,15.25,25,1,2.55,0.825,0.175,0.801
A0046,0,Corporate,Senior,Corporate,East,Subprime,84526.0,43058.0,416,3.21,23,0,1.96,0.572,0.428,0.602
A0047,0,Mortgage,Senior,SME,North,Prime,121273.0,279568.0,415,12.86,29,0,0.43,0.369,0.631,0.361
A0048,0,Mortgage,Senior,Retail,West,Near-Prime,58816.0,251392.0,447,8.48,15,0,0.23,0.362,0.638,0.378
A0049,0,None,Senior,Retail,North,Near-Prime,264904.0,72218.0,511,12.17,3,0,3.0,0.702,0.298,0.731
A0050,0,Mortgage,Senior,Retail,West,Near-Prime,144305.0,221033.0,84,13.44,10,0,0.65,0.353,0.647,0.355
A0051,1,None,Senior,Retail,West,Subprime,267448.0,167052.0,166,8.14,15,1,1.6,0.549,0.451,0.525
A0052,1,Vehicle,Senior,SME,South,Prime,391207.0,260915.0,383,4.62,16,0,1.5,0.334,0.666,0.284
A0053,1,None,Senior,Retail,South,Prime,943553.0,292827.0,467,4.04,17,1,3.0,0.548,0.452,0.547
A0054,1,Corporate,Subordinated,Retail,North,Subprime,614272.0,4248.0,71,11.83,19,1,3.0,0.763,0.237,0.768
A0055,0,None,Subordinated,SME,West,Prime,836624.0,380503.0,520,10.81,11,1,2.2,0.729,0.271,0.717
A0056,1,Mortgage,Senior,Public,East,Near-Prime,713248.0,356507.0,472,14.13,5,0,2.0,0.472,0.528,0.475
A0057,0,Corporate,Senior,SME,South,Near-Prime,121378.0,183143.0,257,10.65,5,0,0.66,0.311,0.689,0.32
A0058,0,Vehicle,Senior,Retail,East,Near-Prime,738561.0,26468.0,274,9.34,14,0,3.0,0.643,0.357,0.663
A0059,0,Vehicle,Senior,Retail,North,Subprime,282348.0,377466.0,19,8.97,26,0,0.75,0.414,0.586,0.409
A0060,0,Corporate,Senior,Public,South,Subprime,642717.0,477588.0,489,3.4,8,0,1.35,0.445,0.555,0.444
A0061,0,None,Senior,Retail,South,Near-Prime,347552.0,120076.0,489,8.03,5,0,2.89,0.771,0.229,0.767
A0062,0,None,Senior,Retail,West,Prime,997696.0,161762.0,325,17.64,7,0,3.0,0.674,0.326,0.675
A0063,1,Corporate,Subordinated,SME,North,Subprime,270916.0,91906.0,528,16.1,16,0,2.95,0.892,0.108,0.882
A0064,0,Vehicle,Senior,SME,West,Prime,286339.0,288468.0,88,7.94,14,1,0.99,0.19,0.81,0.18
A0065,0,Vehicle,Senior,SME,South,Prime,931366.0,77421.0,485,11.82,4,0,3.0,0.636,0.364,0.627
A0066,0,Corporate,Subordinated,Retail,North,Subprime,34398.0,178097.0,707,15.71,17,0,0.19,0.668,0.332,0.671
A0067,0,Mortgage,Senior,Retail,South,Prime,699722.0,348507.0,349,9.62,6,0,2.01,0.62,0.38,0.603
A0068,1,Mortgage,Senior,Public,North,Prime,728073.0,280058.0,83,3.27,16,1,2.6,0.336,0.664,0.327
A0069,0,Mortgage,Senior,Retail,South,Prime,838015.0,193231.0,386,4.12,29,0,3.0,0.506,0.494,0.542
A0070,1,Mortgage,Senior,SME,East,Subprime,974695.0,210125.0,86,10.66,10,0,3.0,0.662,0.338,0.68
A0071,1,Mortgage,Subordinated,Corporate,East,Near-Prime,975846.0,281055.0,306,17.54,29,0,3.0,0.742,0.258,0.723
A0072,0,Mortgage,Senior,SME,West,Near-Prime,74624.0,2932.0,153,13.4,14,1,3.0,0.374,0.626,0.391
A0073,0,Mortgage,Senior,Retail,East,Prime,823621.0,39255.0,439,4.06,4,1,3.0,0.507,0.493,0.52
A0074,1,Mortgage,Subordinated,Retail,South,Near-Prime,649847.0,440629.0,263,5.84,13,0,1.47,0.655,0.345,0.653
A0075,1,None,Subordinated,SME,South,Near-Prime,650869.0,38939.0,420,14.57,18,0,3.0,0.945,0.055,0.931
A0076,1,Vehicle,Subordinated,Corporate,East,Prime,137066.0,353402.0,492,15.62,33,0,0.39,0.653,0.347,0.637
A0077,1,Mortgage,Senior,Corporate,West,Prime,653685.0,460019.0,632,12.27,21,0,1.42,0.303,0.697,0.307
A0078,0,Corporate,Senior,Retail,East,Prime,982658.0,135342.0,410,12.67,16,0,3.0,0.512,0.488,0.495
A0079,0,Mortgage,Subordinated,Retail,North,Subprime,912700.0,185246.0,172,3.43,15,1,3.0,0.696,0.304,0.718
A0080,0,None,Subordinated,Corporate,North,Near-Prime,444739.0,284461.0,3,15.43,5,1,1.56,0.754,0.246,0.782
A0081,1,Corporate,Senior,Corporate,North,Subprime,49548.0,440854.0,639,14.82,6,0,0.11,0.385,0.615,0.384
A0082,0,Mortgage,Senior,Corporate,East,Prime,368671.0,470953.0,471,6.89,3,0,0.78,0.335,0.665,0.358
A0083,0,Vehicle,Senior,Retail,East,Near-Prime,828126.0,369782.0,109,13.63,12,0,2.24,0.543,0.457,0.535
A0084,0,None,Subordinated,SME,East,Near-Prime,704484.0,43310.0,36,6.22,33,1,3.0,0.827,0.173,0.813
A0085,0,None,Senior,Corporate,North,Near-Prime,464750.0,334577.0,582,3.6,33,1,1.39,0.235,0.765,0.257
A0086,0,Vehicle,Senior,SME,West,Subprime,64551.0,205152.0,30,6.02,31,0,0.31,0.381,0.619,0.413
A0087,1,Corporate,Senior,SME,South,Prime,432626.0,235350.0,380,5.68,21,0,1.84,0.559,0.441,0.598
A0088,0,Mortgage,Senior,Retail,East,Prime,474335.0,24574.0,267,8.07,27,0,3.0,0.608,0.392,0.615
A0089,1,None,Subordinated,SME,West,Near-Prime,929270.0,95531.0,10,9.28,27,0,3.0,0.978,0.022,0.995
A0090,0,Mortgage,Senior,Retail,South,Near-Prime,644675.0,395257.0,343,10.63,8,1,1.63,0.365,0.635,0.371
A0091,0,None,Subordinated,SME,South,Near-Prime,318536.0,226979.0,543,10.15,32,0,1.4,0.736,0.264,0.764
A0092,1,Corporate,Subordinated,Public,South,Prime,530065.0,150831.0,568,7.06,26,1,3.0,0.634,0.366,0.643
A0093,1,Corporate,Senior,Retail,West,Near-Prime,75395.0,192010.0,165,3.44,2,0,0.39,0.391,0.609,0.407
A0094,0,Vehicle,Senior,Corporate,West,Prime,972843.0,427200.0,699,12.08,12,1,2.28,0.337,0.663,0.314
A0095,1,Mortgage,Senior,Retail,North,Prime,366459.0,374500.0,341,8.94,22,0,0.98,0.303,0.697,0.298
A0096,0,Mortgage,Subordinated,SME,West,Near-Prime,483089.0,136158.0,481,7.48,17,1,3.0,0.553,0.447,0.569
A0097,0,Mortgage,Senior,Public,West,Near-Prime,361731.0,58751.0,18,16.0,7,0,3.0,0.594,0.406,0.608
A0098,0,Mortgage,Senior,Retail,West,Prime,685687.0,125999.0,627,14.2,4,0,3.0,0.473,0.527,0.491
