account_id,report_date,age,employment_status,marital_status,dependents,region,internal_score,dpd,credit_utilization,macro_gdp_growth,macro_unemployment,macro_interest_rate,stage,pit_pd_12m,default_flag
1,2018-01-01,59,Employed,Married,3,West,522,51,0.11,3.21,6.78,2.88,2,0.1663,0
2,2018-01-02,49,Employed,Single,3,East,803,8,0.76,2.16,7.09,3.93,1,0.1081,0
3,2018-01-03,35,Unemployed,Single,4,South,510,34,1.17,1.19,4.64,3.5,2,0.17880000000000001,0
4,2018-01-04,63,Employed,Single,4,West,874,66,1.05,1.87,6.03,2.74,2,0.08795,0
5,2018-01-05,28,Employed,Widowed,2,North,561,94,1.46,4.59,2.1,2.46,3,0.11935,0
6,2018-01-06,41,Unemployed,Divorced,4,South,817,105,0.04,2.71,3.26,3.7,3,0.07995,0
7,2018-01-07,59,Unemployed,Single,4,East,547,6,0.39,0.3,5.76,2.59,1,0.18405000000000002,0
8,2018-01-08,39,Employed,Married,0,North,556,1,0.82,2.08,5.54,3.12,1,0.16290000000000002,0
9,2018-01-09,43,Employed,Married,1,South,362,24,0.93,1.4,3.58,3.75,1,0.20839999999999997,1
10,2018-01-10,31,Employed,Married,3,West,691,103,0.41,0.73,4.43,3.09,3,0.1371,0
11,2018-01-11,31,Unemployed,Single,4,East,839,75,1.24,2.48,5.53,3.01,2,0.08810000000000001,0
12,2018-01-12,44,Retired,Single,3,East,716,93,0.25,1.03,4.99,2.16,3,0.13065,0
13,2018-01-13,56,Employed,Married,4,South,352,117,0.0,3.55,4.66,3.5,3,0.19479999999999997,0
14,2018-01-14,60,Employed,Widowed,4,East,337,93,1.43,3.34,2.88,2.09,3,0.19174999999999998,1
15,2018-01-15,44,Unemployed,Married,2,North,607,92,0.59,1.27,5.53,3.68,3,0.1582,0
16,2018-01-16,23,Employed,Single,0,South,352,40,1.44,1.21,4.72,2.16,2,0.21849999999999997,1
17,2018-01-17,42,Employed,Single,1,North,751,74,0.42,2.67,8.26,2.59,2,0.12184999999999999,0
18,2018-01-18,22,Retired,Married,1,East,760,114,0.1,3.02,7.11,3.58,3,0.11035,0
19,2018-01-19,44,Employed,Married,2,East,785,51,1.16,1.75,5.2,3.72,2,0.10725,0
20,2018-01-20,64,Self-Employed,Married,2,East,436,86,1.25,2.98,2.09,3.05,2,0.16665,0
21,2018-01-21,50,Employed,Married,1,North,671,80,0.74,3.66,8.64,2.82,2,0.13385000000000002,0
22,2018-01-22,58,Employed,Single,1,East,555,76,0.11,2.33,6.23,3.08,2,0.1641,0
23,2018-01-23,22,Unemployed,Married,0,South,694,96,0.98,0.97,4.17,2.02,3,0.13265,0
24,2018-01-24,41,Employed,Married,4,West,336,64,0.27,2.79,6.33,3.55,2,0.21474999999999997,1
25,2018-01-25,53,Retired,Single,0,South,446,103,1.27,2.14,6.19,2.69,3,0.19305,0
26,2018-01-26,32,Self-Employed,Married,1,West,307,76,0.41,1.68,4.02,2.87,2,0.22155,0
27,2018-01-27,42,Employed,Single,4,East,550,37,1.27,2.75,3.6,3.04,2,0.14800000000000002,0
28,2018-01-28,64,Employed,Single,1,South,870,66,0.64,3.21,6.11,3.14,2,0.07595,0
29,2018-01-29,45,Employed,Single,0,North,746,79,0.89,2.19,6.61,3.22,2,0.11965,0
30,2018-01-30,69,Employed,Single,0,West,562,41,1.18,-0.28,5.48,3.61,2,0.18470000000000003,0
31,2018-01-31,47,Employed,Single,0,North,738,70,0.06,2.12,5.38,3.64,2,0.1162,0
32,2018-02-01,62,Employed,Married,4,West,558,53,1.23,2.23,7.03,2.98,2,0.16835,0
33,2018-02-02,48,Employed,Married,3,East,622,116,0.21,4.59,4.77,3.37,3,0.11745,1
34,2018-02-03,36,Unemployed,Married,3,South,829,66,0.54,2.13,0.67,3.44,2,0.0698,0
35,2018-02-04,35,Self-Employed,Single,1,West,600,77,0.71,1.83,5.8,2.13,2,0.1557,0
36,2018-02-05,67,Unemployed,Single,4,South,784,63,1.34,2.69,6.73,2.78,2,0.10575000000000001,0
37,2018-02-06,64,Employed,Married,2,West,391,79,0.03,1.7,5.71,2.55,2,0.20879999999999999,0
